UNIT FILE                                  STATE   
proc-sys-fs-binfmt_misc.automount          static  
org.freedesktop.hostname1.busname          static  
org.freedesktop.import1.busname            static  
org.freedesktop.locale1.busname            static  
org.freedesktop.login1.busname             static  
org.freedesktop.machine1.busname           static  
org.freedesktop.network1.busname           static  
org.freedesktop.resolve1.busname           static  
org.freedesktop.systemd1.busname           static  
org.freedesktop.timedate1.busname          static  
dev-hugepages.mount                        static  
dev-mqueue.mount                           static  
proc-fs-nfsd.mount                         static  
proc-sys-fs-binfmt_misc.mount              static  
sys-fs-fuse-connections.mount              static  
sys-kernel-config.mount                    static  
sys-kernel-debug.mount                     static  
tmp.mount                                  static  
var-lib-machines.mount                     static  
var-lib-nfs-rpc_pipefs.mount               static  
cups.path                                  enabled 
systemd-ask-password-console.path          static  
systemd-ask-password-plymouth.path         static  
systemd-ask-password-wall.path             static  
session-1.scope                            static  
session-2.scope                            static  
abrt-ccpp.service                          enabled 
abrt-journal-core.service                  disabled
abrt-oops.service                          enabled 
abrt-pstoreoops.service                    disabled
abrt-vmcore.service                        enabled 
abrt-xorg.service                          enabled 
abrtd.service                              enabled 
accounts-daemon.service                    enabled 
alsa-restore.service                       static  
alsa-state.service                         static  
arp-ethers.service                         disabled
atd.service                                enabled 
auditd.service                             enabled 
auth-rpcgss-module.service                 static  
autofs.service                             disabled
autovt@.service                            disabled
avahi-daemon.service                       enabled 
blk-availability.service                   disabled
bluetooth.service                          enabled 
brltty.service                             disabled
canberra-system-bootup.service             disabled
canberra-system-shutdown-reboot.service    disabled
canberra-system-shutdown.service           disabled
certmonger.service                         disabled
chrony-dnssrv@.service                     static  
chrony-wait.service                        disabled
chronyd.service                            enabled 
cockpit.service                            static  
colord.service                             static  
configure-printer@.service                 static  
console-getty.service                      disabled
console-shell.service                      disabled
container-getty@.service                   static  
corosync-notifyd.service                   disabled
corosync.service                           disabled
crond.service                              enabled 
cups-browsed.service                       disabled
cups.service                               enabled 
dbus-org.bluez.service                     enabled 
dbus-org.fedoraproject.rolekit1.service    enabled 
dbus-org.freedesktop.Avahi.service         enabled 
dbus-org.freedesktop.hostname1.service     static  
dbus-org.freedesktop.import1.service       static  
dbus-org.freedesktop.locale1.service       static  
dbus-org.freedesktop.login1.service        static  
dbus-org.freedesktop.machine1.service      static  
dbus-org.freedesktop.ModemManager1.service enabled 
dbus-org.freedesktop.network1.service      disabled
dbus-org.freedesktop.resolve1.service      disabled
dbus-org.freedesktop.timedate1.service     enabled 
dbus.service                               static  
debug-shell.service                        disabled
display-manager.service                    enabled 
dm-event.service                           disabled
dnf-makecache.service                      static  
dnf-system-upgrade.service                 disabled
dnsmasq.service                            disabled
docker-storage-setup.service               disabled
docker.service                             disabled
dracut-cmdline.service                     static  
dracut-initqueue.service                   static  
dracut-mount.service                       static  
dracut-pre-mount.service                   static  
